,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
5104,08/13/2021,FL,"2,910,719",,,"22,538","6,010","43,468",,,307,29,08/13/2021 12:00:00 AM,Not agree,Not agree
5113,02/15/2021,FL,"1,800,952",,,"6,736","2,207","30,906",,,111,11,02/15/2021 12:00:00 AM,Not agree,Not agree
5118,03/09/2020,FL,18,,,5,0,2,,,0,0,03/09/2020 12:00:00 AM,Not agree,Not agree
5144,04/20/2022,FL,"5,896,010",,,"3,819",857,"74,130",,,13,1,04/20/2022 12:00:00 AM,Not agree,Not agree
5146,09/03/2021,FL,"3,340,921",,,"15,748","3,166","51,594",,,394,34,09/03/2021 12:00:00 AM,Not agree,Not agree
5150,09/19/2021,FL,"3,525,240",,,"6,327","1,660","56,514",,,240,18,09/19/2021 12:00:00 AM,Not agree,Not agree
5198,06/26/2022,FL,"6,447,149",,,"7,719","1,502","76,208",,,50,8,06/26/2022 12:00:00 AM,Not agree,Not agree
5225,12/12/2020,FL,"1,103,612",,,"8,840","2,245","20,952",,,93,5,12/12/2020 12:00:00 AM,Not agree,Not agree
5249,02/21/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
5264,09/19/2022,FL,"7,098,287",,,"2,726","1,022","81,386",,,42,5,09/19/2022 12:00:00 AM,Not agree,Not agree
5279,02/04/2021,FL,"1,728,007",,,"10,118","2,471","29,400",,,180,16,02/04/2021 12:00:00 AM,Not agree,Not agree
5288,03/13/2022,FL,"5,827,564",,,666,93,"73,274",,,40,5,03/13/2022 12:00:00 AM,Not agree,Not agree
5289,03/16/2021,FL,"1,950,352",,,"4,680","1,388","33,319",,,58,3,03/16/2021 12:00:00 AM,Not agree,Not agree
5378,02/13/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
5465,05/03/2021,FL,"2,209,404",,,"3,808","1,181","35,875",,,58,3,05/03/2021 12:00:00 AM,Not agree,Not agree
5485,01/23/2020,FL,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
5500,03/10/2020,FL,20,,,2,0,3,,,1,0,03/10/2020 12:00:00 AM,Not agree,Not agree
5525,05/20/2022,FL,"6,067,981",,,"9,323","2,392","74,655",,,19,1,05/20/2022 12:00:00 AM,Not agree,Not agree
5552,01/31/2021,FL,"1,693,167",,,"5,591","1,526","28,743",,,162,8,01/31/2021 12:00:00 AM,Not agree,Not agree
5568,03/19/2020,FL,388,,,65,0,12,,,2,0,03/19/2020 12:00:00 AM,Not agree,Not agree
5699,05/10/2022,FL,"5,987,006",,,"7,724","1,963","74,464",,,18,4,05/10/2022 12:00:00 AM,Not agree,Not agree
5753,04/15/2021,FL,"2,116,967",,,"7,344","1,885","34,902",,,62,7,04/15/2021 12:00:00 AM,Not agree,Not agree
5775,05/22/2022,FL,"6,081,388",,,"6,449","1,398","74,714",,,26,2,05/22/2022 12:00:00 AM,Not agree,Not agree
5893,04/20/2020,FL,"26,159",,,743,0,"1,002",,,51,0,04/20/2020 12:00:00 AM,Not agree,Not agree
5951,08/20/2021,FL,"3,061,866",,,"22,473","4,886","46,018",,,423,35,08/20/2021 12:00:00 AM,Not agree,Not agree
6002,07/27/2020,FL,"433,649",,,"9,002",165,"8,027",,,207,3,07/27/2020 12:00:00 AM,Not agree,Not agree
6085,09/01/2022,FL,"7,037,420",,,"5,612","1,554","80,571",,,70,6,09/01/2022 12:00:00 AM,Not agree,Not agree
6087,02/22/2022,FL,"5,794,168",,,"3,892","1,150","72,016",,,101,15,02/22/2022 12:00:00 AM,Not agree,Not agree
6099,09/01/2021,FL,"3,305,243",,,"21,801","6,654","50,802",,,402,39,09/01/2021 12:00:00 AM,Not agree,Not agree
6204,01/30/2022,FL,"5,556,479",,,"15,283","4,917","68,314",,,204,18,01/30/2022 12:00:00 AM,Not agree,Not agree
6320,09/22/2022,FL,"7,106,619",,,"2,681",926,"81,486",,,39,3,09/22/2022 12:00:00 AM,Not agree,Not agree
6324,06/13/2020,FL,"73,348",,,"2,145",1,"3,054",,,27,0,06/13/2020 12:00:00 AM,Not agree,Not agree
6337,09/20/2021,FL,"3,532,353",,,"7,113","2,136","56,737",,,223,15,09/20/2021 12:00:00 AM,Not agree,Not agree
6351,07/09/2020,FL,"240,044",,,"11,238",45,"4,644",,,131,0,07/09/2020 12:00:00 AM,Not agree,Not agree
6356,07/10/2022,FL,"6,590,829",,,"8,366","2,142","77,028",,,53,8,07/10/2022 12:00:00 AM,Not agree,Not agree
6444,02/13/2022,FL,"5,750,907",,,"4,197",742,"70,920",,,140,13,02/13/2022 12:00:00 AM,Not agree,Not agree
6464,12/19/2021,FL,"3,803,138",,,"10,917","1,332","62,768",,,31,3,12/19/2021 12:00:00 AM,Not agree,Not agree
6496,08/10/2022,FL,"6,901,559",,,"9,140","3,002","79,141",,,76,12,08/10/2022 12:00:00 AM,Not agree,Not agree
6498,08/01/2021,FL,"2,649,367",,,"13,288","2,331","40,315",,,172,12,08/01/2021 12:00:00 AM,Not agree,Not agree
6510,07/08/2022,FL,"6,573,815",,,"12,013","3,735","76,923",,,62,9,07/08/2022 12:00:00 AM,Not agree,Not agree
6540,12/13/2021,FL,"3,748,038",,,"3,356",746,"62,622",,,20,2,12/13/2021 12:00:00 AM,Not agree,Not agree
